,aug,ResNet50_baseline_top_1_accuracy,ResNet50_baseline_top_3_accuracy,ResNet50_tripplet_loss_top_1_accuracy,ResNet50_tripplet_loss_top_3_accuracy,ResNet50_infoNCE_top_1_accuracy,ResNet50_infoNCE_top_3_accuracy,starttime,endtime
0,0,0.1458333283662796,0.3125,0.375,0.625,0.3958333432674408,0.6875,2023-03-10 13:03:23,2023-03-10 13:08:23
1,1,0.125,0.2291666716337204,0.4166666567325592,0.625,0.3958333432674408,0.6875,2023-03-10 13:08:23,2023-03-10 13:13:14
2,2,0.2291666716337204,0.375,0.4583333432674408,0.7916666865348816,0.4166666567325592,0.5833333134651184,2023-03-10 13:13:14,2023-03-10 13:23:03
3,3,0.4375,0.5625,0.3333333432674408,0.6875,0.4166666567325592,0.625,2023-03-10 13:23:03,2023-03-10 13:35:42
4,4,0.3125,0.5625,0.4166666567325592,0.75,0.4166666567325592,0.6041666865348816,2023-03-10 13:35:42,2023-03-10 13:51:23
5,5,0.3333333432674408,0.5208333134651184,0.3958333432674408,0.75,0.375,0.6666666865348816,2023-03-10 13:51:23,2023-03-10 14:09:54
6,6,0.3958333432674408,0.6666666865348816,0.3958333432674408,0.75,0.5208333134651184,0.7083333134651184,2023-03-10 14:09:54,2023-03-10 14:31:23
7,7,0.3541666567325592,0.6666666865348816,0.4375,0.7916666865348816,0.4166666567325592,0.6666666865348816,2023-03-10 14:31:23,2023-03-10 14:56:02
8,8,0.3541666567325592,0.625,0.4375,0.7083333134651184,0.3958333432674408,0.6875,2023-03-10 14:56:02,2023-03-10 15:23:14
9,9,0.5208333134651184,0.7291666865348816,0.375,0.75,0.3958333432674408,0.6666666865348816,2023-03-10 15:23:14,2023-03-10 15:53:56
10,10,0.4791666567325592,0.6041666865348816,0.4375,0.7708333134651184,0.3958333432674408,0.6458333134651184,2023-03-10 15:53:56,2023-03-10 16:27:06
